time,chlora,obs,lon,lat,depth
2021-03-10 00:51:19.721160192,0.0,3278497,-125.3896636,44.52894899,121.07227252133863
2021-03-10 00:51:20.849408512,0.0,3278498,-125.3896636,44.52894899,121.04816456251245
2021-03-10 00:51:23.105761792,0.0,3278500,-125.3896636,44.52894899,120.97189993098426
2021-03-10 00:51:29.875042304,0.0,3278506,-125.3896636,44.52894899,120.58809850251053
2021-03-10 00:51:31.003294208,0.0,3278507,-125.3896636,44.52894899,120.53121697125248
2021-03-10 00:51:32.131509760,0.0107,3278508,-125.3896636,44.52894899,120.47725805187547
2021-03-10 00:51:34.387892736,0.0,3278510,-125.3896636,44.52894899,120.37770894412894
2021-03-10 00:51:37.772718080,0.0,3278513,-125.3896636,44.52894899,120.2171123214914
2021-03-10 00:51:41.157390336,0.0107,3278516,-125.3896636,44.52894899,120.05309515293845
2021-03-10 00:51:43.413883392,0.0214,3278518,-125.3896636,44.52894899,119.96742317477158
2021-03-10 00:52:03.719212544,0.0,3278536,-125.3896636,44.52894899,119.06991596335847
2021-03-10 00:52:31.924782080,0.0,3278561,-125.3896636,44.52894899,117.65378864706578
2021-03-10 00:52:44.335245824,0.0214,3278572,-125.3896636,44.52894899,117.12503839962402
2021-03-10 00:52:47.720233472,0.0,3278575,-125.3896636,44.52894899,116.93621177482768
2021-03-10 00:52:51.104898048,0.0,3278578,-125.3896636,44.52894899,116.72003241324124
2021-03-10 00:52:55.616875520,0.0,3278582,-125.3896636,44.52894899,116.51832048873344
2021-03-10 00:52:56.744849920,0.0,3278583,-125.3896636,44.52894899,116.48662856662733
2021-03-10 00:53:01.256650752,0.0107,3278587,-125.3896636,44.52894899,116.34171953546263
2021-03-10 00:53:03.512788992,0.0,3278589,-125.3896636,44.52894899,116.22774746449373
2021-03-10 00:53:04.640995840,0.0107,3278590,-125.3896636,44.52894899,116.16161196147227
2021-03-10 00:53:14.794963968,0.0,3278599,-125.3896636,44.52894899,115.6702180338188
2021-03-10 00:53:23.820782080,0.0321,3278607,-125.3896636,44.52894899,115.23320253208739
2021-03-10 00:53:28.333611520,0.0,3278611,-125.3896636,44.52894899,115.05136828333372
2021-03-10 00:53:31.718300160,0.0107,3278614,-125.3896636,44.52894899,114.85548403909269
2021-03-10 00:53:33.974783488,0.0,3278616,-125.3896636,44.52894899,114.71775629423644
2021-03-10 00:53:35.102984192,0.0,3278617,-125.3896636,44.52894899,114.65924647019922
2021-03-10 00:53:37.359407104,0.0,3278619,-125.3896636,44.52894899,114.57015634563155
2021-03-10 00:53:44.128784896,0.0107,3278625,-125.3896636,44.52894899,114.32101918641366
2021-03-10 00:53:48.641751040,0.0107,3278629,-125.3896636,44.52894899,114.0156548846443
2021-03-10 00:53:49.769977344,0.0214,3278630,-125.3896636,44.52894899,113.94702600183136
2021-03-10 00:53:54.282109440,0.0642,3278634,-125.3896636,44.52894899,113.78407982755236
2021-03-10 00:53:55.410080768,0.0,3278635,-125.3896636,44.52894899,113.75979551333175
2021-03-10 00:53:56.538030080,0.0,3278636,-125.3896636,44.52894899,113.73468316884417
2021-03-10 00:53:59.921921024,0.0107,3278639,-125.3896636,44.52894899,113.58298842553563
2021-03-10 00:54:10.075330560,0.0107,3278648,-125.3896636,44.52894899,113.05841044540507
2021-03-10 00:54:14.588297216,0.0107,3278652,-125.3896636,44.52894899,112.86878586684374
2021-03-10 00:54:16.844802560,0.0,3278654,-125.3896636,44.52894899,112.72158822726253
2021-03-10 00:54:17.973001728,0.0,3278655,-125.3896636,44.52894899,112.65139250120585
2021-03-10 00:54:19.101219840,0.0107,3278656,-125.3896636,44.52894899,112.58945999668276
2021-03-10 00:54:22.485862912,0.0,3278659,-125.3896636,44.52894899,112.46463390173292
